% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
2222	3	25	4	0	8	209	0	1	0
2222	4	25	4	0	8	209	0	1	1
2222	4	22	28	0	28	1095	0	1	1
2223	1	1	12	0	28	2292	0	0	0
2223	2	13	16	0	8	437	0	1	1
2223	3	16	17	0	6	325	0	1	0
2223	4	16	17	0	6	325	0	1	1
2224	1	7	25	0	8	209	0	1	0
2224	1	13	16	0	8	209	0	1	0
2224	2	7	25	0	8	437	0	1	1
2224	3	26	16	0	8	437	0	1	0
2224	4	26	16	0	8	437	0	1	1
2225	1	13	16	0	8	437	0	1	0
2225	2	13	16	0	8	437	0	1	1
2225	3	16	17	0	6	153	0	1	0
2225	3	17	14	0	6	153	0	1	0
2225	4	16	17	0	6	153	0	1	1
2225	4	17	14	0	6	153	0	1	1
2226	1	1	12	0	28	1095	0	1	0
2226	1	4	18	0	28	1095	0	1	0
2226	2	1	12	0	28	1095	0	1	1
2226	2	4	18	0	28	1095	0	1	1
2226	3	23	30	0	28	1095	0	1	0
2226	3	30	25	0	4	105	0	1	0
2226	4	30	25	0	4	105	0	1	1
2226	4	23	30	0	28	1095	0	1	1
2227	1	6	23	0	8	209	0	1	0
2227	1	14	2	0	6	153	0	1	0
2227	2	14	2	0	6	153	0	1	1
2227	2	6	23	0	8	209	0	1	1
2227	3	29	3	0	10	549	0	1	0
2227	4	29	3	0	10	549	0	1	1
2228	1	2	1	0	8	437	0	1	0
2228	2	2	1	0	8	437	0	1	1
2228	3	26	16	0	8	437	0	1	0
2228	4	26	16	0	8	437	0	1	1
2229	1	11	24	0	12	301	0	1	0
2229	1	15	13	0	28	1095	0	1	0
2229	2	15	13	0	28	1095	0	1	1
2229	2	11	24	0	12	301	0	1	1
2229	3	22	28	0	28	1095	0	0	0
2230	1	9	26	0	8	437	0	1	0
2230	2	9	26	0	8	437	0	1	1
2230	3	20	29	0	28	2292	0	1	0
2230	4	20	29	0	28	2292	0	1	1
2231	1	13	16	0	8	437	0	1	0
2231	2	13	16	0	8	437	0	1	1
2231	3	29	3	0	10	549	0	1	0
2231	4	29	3	0	10	549	0	1	1
2232	1	12	4	0	12	621	0	1	0
2232	2	12	4	0	12	621	0	1	1
2232	3	19	1	0	4	225	0	1	0
2232	4	19	1	0	4	225	0	1	1
2233	1	1	12	0	28	1095	0	0	0
2233	1	4	18	0	28	1095	0	0	0
2233	2	15	13	0	28	2292	0	1	1
2233	3	17	14	0	6	153	0	1	0
2233	3	23	30	0	28	1095	0	0	0
2233	4	17	14	0	6	325	0	1	1
2234	1	12	4	0	12	301	0	1	0
2234	1	15	13	0	28	1095	0	1	0
2234	2	12	4	0	12	621	0	1	1
2234	3	24	23	0	4	105	0	1	0
2234	3	28	26	0	10	261	0	1	0
2234	4	24	23	0	4	105	0	1	1
2234	4	28	26	0	10	261	0	1	1
2235	1	5	15	0	4	225	0	1	0
2235	2	5	15	0	4	225	0	1	1
2235	3	24	23	0	4	105	0	1	0
2235	3	27	24	0	8	209	0	1	0
2235	4	24	23	0	4	105	0	1	1
2235	4	27	24	0	8	209	0	1	1
2236	1	10	3	0	6	153	0	1	0
2236	1	11	24	0	12	301	0	0	0
2236	2	10	3	0	6	325	0	1	1
2236	3	22	28	0	28	1095	0	0	0
2236	3	27	24	0	8	209	0	1	0
2236	4	27	24	0	8	437	0	1	1
2237	1	4	18	0	28	2292	0	1	0
2237	2	4	18	0	28	2292	0	1	1
2237	3	20	29	0	28	2292	0	0	0
2238	1	3	14	0	8	209	0	1	0
2238	1	5	15	0	4	105	0	1	0
2238	2	3	14	0	8	209	0	1	1
2238	2	5	15	0	4	105	0	1	1
2238	3	17	14	0	6	325	0	1	0
2238	4	17	14	0	6	325	0	1	1
2239	3	26	16	0	8	437	0	1	0
2239	4	26	16	0	8	437	0	1	1
2240	1	1	12	0	28	1095	0	0	0
2240	1	4	18	0	28	1095	0	0	0
2240	2	6	23	0	8	437	0	1	1
2240	3	23	30	0	28	1095	0	0	0
2241	1	6	23	0	8	137	0	1	0
2241	1	15	13	0	28	1095	0	0	0
2241	2	15	13	0	28	1095	0	1	1
2241	2	13	16	0	8	209	0	1	1
2241	3	26	16	0	8	437	0	1	0
2241	4	26	16	0	8	437	0	1	1
2242	1	1	12	0	28	549	0	1	0
2242	1	13	16	0	8	101	0	1	0
2242	1	14	2	0	6	75	0	1	0
2242	1	15	13	0	28	549	0	1	0
2242	2	14	2	0	6	153	0	1	1
2242	2	1	12	0	28	1095	0	1	1
2243	1	11	24	0	12	621	0	1	0
2243	2	11	24	0	12	621	0	1	1
2243	3	19	1	0	4	105	0	1	0
2243	3	30	25	0	4	105	0	1	0
2243	4	19	1	0	4	105	0	1	1
2243	4	30	25	0	4	105	0	1	1
2244	1	4	18	0	28	2292	0	0	0
2244	2	13	16	0	8	209	0	1	1
2244	2	9	26	0	8	209	0	1	1
2244	3	20	29	0	28	2292	0	0	0
2244	4	25	4	0	8	209	0	1	1
2244	4	24	23	0	4	105	0	1	1
2245	1	9	26	0	8	101	0	1	0
2245	1	12	4	0	12	149	0	1	0
2245	1	13	16	0	8	101	0	1	0
