% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.213	1	9	122	4	26	26	1836	0	0	0
1.213	3	30	122	4	25	20	1191	0	0	0
1.213	3	30	122	4	25	12	597	0	0	1
1.214	1	7	122	5	25	20	1191	0	0	0
1.214	3	30	122	5	25	20	1191	0	0	0
1.214	3	30	122	5	25	12	597	0	0	1
1.215	3	24	122	6	23	20	1191	0	0	0
1.215	3	21	122	6	15	26	1836	0	0	1
1.216	1	2	122	7	1	20	1191	0	0	0
1.216	1	12	122	7	4	24	1620	0	0	1
1.216	3	21	122	7	15	26	1836	0	0	0
1.216	3	25	122	7	4	24	1620	0	0	1
1.217	1	12	122	8	4	14	775	0	0	0
1.217	1	12	122	8	4	24	1620	0	0	1
1.217	3	25	122	8	4	14	775	0	0	0
1.217	3	25	122	8	4	24	1620	0	0	1
1.218	1	12	122	9	4	24	1620	0	0	0
1.218	3	25	122	9	4	24	1620	0	0	0
1.218	3	30	122	9	25	20	1191	0	0	1
1.221	1	6	123	2	23	24	1620	0	0	0
1.221	1	6	123	2	23	24	1620	0	0	1
1.221	3	18	123	2	2	26	1836	0	0	0
1.221	3	18	123	2	2	26	1836	0	0	1
1.222	1	11	123	3	24	24	1620	0	0	0
1.222	1	11	123	3	24	24	1620	0	0	1
1.222	3	17	123	3	14	22	1383	0	0	0
1.222	3	17	123	3	14	22	1383	0	0	1
1.223	1	11	123	4	24	24	1620	0	0	0
1.223	1	12	123	4	4	24	1620	0	0	1
1.223	3	21	123	4	15	26	1836	0	0	0
1.223	3	25	123	4	4	24	1620	0	0	1
1.224	1	13	123	5	16	22	1383	0	0	0
1.224	1	12	123	5	4	24	1620	0	0	1
1.224	3	26	123	5	16	22	1383	0	0	0
1.224	3	25	123	5	4	24	1620	0	0	1
1.225	1	3	123	6	14	12	597	0	0	0
1.225	1	13	123	6	16	12	597	0	0	1
1.225	3	27	123	6	24	14	775	0	0	0
1.225	3	27	123	6	24	14	775	0	0	1
1.226	1	10	123	7	3	20	1191	0	0	0
1.226	1	10	123	7	3	20	1191	0	0	1
1.226	3	19	123	7	1	22	1383	0	0	0
1.226	3	19	123	7	1	22	1383	0	0	1
1.227	1	3	123	8	14	24	1620	0	0	0
1.227	1	3	123	8	14	24	1620	0	0	1
1.227	3	28	123	8	26	24	1620	0	0	0
1.227	3	26	123	8	16	22	1383	0	0	1
